,center_text,b_size
1383,原唱,292
1384,原唱,578
1385,原唱,228
1386,原唱,244
1387,原唱,235
1388,原唱,290
1389,原唱,214
1390,原唱,220
1391,原唱,251
1392,原唱,445
1393,原唱,210
1394,原唱,280
1395,原唱,294
1396,原唱,517
1397,原唱,882
1398,原唱,255
1399,原唱,592
1400,原唱,683
1401,原唱,267
1402,原唱,487
1403,原唱,484
1404,原唱,276
1405,原唱,213
1406,原唱,240
1407,原唱,421
1408,原唱,409
1409,原唱,347
1410,原唱,271
1411,原唱,274
1412,原唱,396
1413,原唱,261
1414,原唱,253
1415,原唱,291
1416,原唱,373
1417,原唱,494
1418,原唱,420
1419,原唱,257
1420,原唱,732
1421,原唱,222
1422,原唱,558
1423,原唱,216
1424,原唱,484
1425,原唱,204
1426,原唱,202
1427,原唱,445
1428,原唱,295
1429,原唱,327
1430,初中,337
1431,初中,232
1432,初中,503
1433,初中,354
1434,初中,212
1435,初中,257
1436,初中,245
1437,初中,305
1438,初中,1863
1439,初中,397
1440,初中,212
1441,初中,520
1442,初中,231
1443,初中,201
1444,初中,230
1445,初中,1150
1446,初中,230
1447,初中,334
1448,初中,332
1449,初中,267
1450,初中,2670
1451,初中,817
1452,初中,364
1453,初中,520
1454,初中,243
1455,初中,252
1456,初中,200
1457,初中,783
1458,初中,226
1459,初中,913
1460,初中,261
1461,初中,214
1462,初中,227
1463,初中,220
1464,初中,639
1465,初中,264
1466,初中,412
1467,初中,220
1468,初中,231
1469,初中,249
1470,初中,273
1471,初中,223
1472,初中,341
1473,初中,2037
1474,初中,517
1475,初中,261
1476,初中,527
1477,初中,211
1478,初中,260
1479,初中,248
1480,初中,251
1481,初中,340
1482,初中,426
1483,初中,323
1484,初中,205
1485,初中,328
1486,初中,246
1487,初中,2407
1488,初中,220
1489,初中,260
1490,初中,261
1491,初中,295
1492,初中,258
1493,初中,305
1494,初中,359
1495,初中,207
1496,初中,429
1497,初中,596
1498,初中,355
1499,初中,877
1500,初中,2817
1501,初中,543
1502,初中,849
1503,初中,224
1504,初中,412
1505,初中,411
1506,初中,241
1507,初中,318
1508,初中,208
1509,初中,325
1510,初中,248
1511,初中,311
1512,初中,232
1513,初中,223
1514,初中,321
1515,初中,276
1516,初中,224
1517,初中,786
1518,初中,2523
1519,初中,291
1520,初中,438
1521,初中,938
1522,初中,840
1523,初中,1096
1524,初中,327
1525,初中,248
1526,初中,220
1527,初中,2260
1528,初中,224
1529,初中,655
1530,初中,940
1531,初中,437
1532,初中,307
1533,初中,444
1534,初中,418
1535,初中,560
1536,初中,1410
1537,初中,232
1538,初中,255
1539,初中,474
1540,初中,358
1541,初中,451
1542,初中,200
1543,初中,675
1544,初中,277
1545,初中,379
1546,初中,288
1547,初中,263
1548,初中,231
1549,初中,262
1550,初中,206
1551,初中,250
1552,初中,350
1553,初中,226
1554,初中,709
1555,初中,210
1556,初中,316
1557,初中,329
1558,初中,526
1559,初中,223
1560,初中,205
1561,初中,338
1562,初中,392
1563,初中,229
1564,初中,251
1565,初中,271
1566,初中,530
1567,初中,213
1568,初中,498
1569,初中,228
1570,初中,234
1571,初中,225
1572,初中,664
1573,初中,245
1574,初中,208
1575,初中,480
1576,初中,387
1577,初中,241
1578,初中,291
1579,初中,244
1580,初中,224
1581,初中,935
1582,初中,350
1583,初中,225
1584,初中,299
1585,初中,553
1586,初中,732
1587,初中,327
1588,初中,240
1589,初中,212
1590,初中,245
1591,初中,250
1592,初中,560
1593,初中,316
1594,初中,507
1595,初中,246
1596,初中,201
1597,初中,435
1598,初中,257
1599,初中,732
1600,初中,458
1601,初中,308
1602,初中,205
1603,初中,306
1604,初中,445
1605,初中,238
1606,初中,407
1607,初中,214
1608,初中,451
1609,初中,597
1610,初中,240
1611,初中,217
1612,初中,295
1613,哥哥,913
1614,哥哥,273
1615,哥哥,783
1616,哥哥,272
1617,哥哥,402
1618,哥哥,282
1619,哥哥,538
1620,哥哥,225
1621,哥哥,241
1622,哥哥,713
1623,哥哥,307
1624,哥哥,4980
1625,哥哥,238
1626,哥哥,209
1627,哥哥,1167
1628,哥哥,5579
1629,哥哥,685
1630,哥哥,7658
1631,哥哥,602
1632,哥哥,223
1633,哥哥,210
1634,哥哥,2913
1635,哥哥,1118
1636,哥哥,6568
1637,哥哥,1186
1638,哥哥,9422
1639,哥哥,564
1640,哥哥,209
1641,哥哥,817
1642,哥哥,330
1643,哥哥,229
1644,哥哥,438
1645,哥哥,556
1646,哥哥,509
1647,哥哥,764
1648,哥哥,323
1649,哥哥,413
1650,哥哥,643
1651,哥哥,563
1652,哥哥,559
1653,哥哥,246
1654,哥哥,289
1655,哥哥,582
1656,哥哥,493
1657,哥哥,566
1658,哥哥,786
1659,哥哥,202
1660,哥哥,220
1661,哥哥,304
1662,哥哥,403
1663,哥哥,636
1664,哥哥,259
1665,哥哥,247
1666,哥哥,544
1667,哥哥,569
1668,哥哥,951
1669,哥哥,955
1670,哥哥,3936
1671,哥哥,258
1672,哥哥,206
1673,哥哥,339
1674,哥哥,1000
1675,哥哥,256
1676,哥哥,1050
1677,哥哥,310
1678,哥哥,700
1679,哥哥,1014
1680,哥哥,246
1681,哥哥,724
1682,哥哥,317
1683,哥哥,369
1684,哥哥,1133
1685,哥哥,452
1686,哥哥,225
1687,哥哥,297
1688,哥哥,312
1689,哥哥,263
1690,哥哥,283
1691,哥哥,234
1692,哥哥,487
1693,哥哥,646
1694,哥哥,613
1695,哥哥,799
1696,哥哥,248
1697,哥哥,798
1698,哥哥,267
1699,哥哥,578
1700,哥哥,621
1701,哥哥,639
1702,哥哥,401
1703,哥哥,262
1704,哥哥,550
1705,哥哥,306
1706,哥哥,712
1707,哥哥,236
1708,哥哥,1365
1709,哥哥,242
1710,哥哥,2662
1711,哥哥,210
1712,哥哥,420
1713,哥哥,466
1714,哥哥,650
1715,哥哥,216
1716,哥哥,1477
1717,哥哥,273
1718,哥哥,327
1719,哥哥,346
1720,哥哥,490
1721,哥哥,293
1722,哥哥,284
