['1356593848-0', 7, ['好听', '留名', '宝藏', '评论', '发现', '喜欢', '嘟嘟嘟', '会火', '前排', '火前']]
['1357985450-0', 7, ['喜欢', '好听', '加油', '乃万', '打卡', '评论', '好好', '单曲循环', '后知后觉', '懂得']]
['1357991043-0', 7, ['好听', '加油', '喜欢', '乃万', '日推', '支持', '评论', '太快', '打卡', '声音']]
['1358187786-0', 7, ['喜欢', '好听', '日推', '评论', '不错', '打卡', '加油', '节奏', '红心', '好好']]
['1359570581-0', 7, ['好听', '放学', '加油', '感谢', 'call', '声音', '牛逼', '喜欢', '单曲循环', 'der']]
['1361104021-0', 7, ['宝藏', '发现', '好听', '喜欢', '夏天', '音乐', '加油', '立夏', '开心', '歌曲']]
['23202774-0', 7, ['好听', '前奏', '喜欢', '评论', '钢琴', '声音', '加油', '好好', '晚安', '听的歌']]
['27515086-0', 7, ['抖音', '生活', '好好', '三年', '加油', '好听', '兄弟', '喜欢', '音乐', '找到']]
['27882657-0', 7, ['好听', '喜欢', '日推', '助攻', '棒棒', '评论', '打卡', '加油', '开口', '留名']]
['28391219-0', 7, ['热搜', '宝藏', '喜欢', '歌曲', '好听', '发现', '听到', '表白', '抖音', '版权']]
['316154-0', 7, ['加油', '喜欢', '好听', '评论', '打卡', '助攻', 'call', '支持', '前奏', '回忆']]
['328153-0', 7, ['好听', '喜欢', '不错', '郑秀文', '好好', '唉声叹气', '声音', '歌词', '支持', '林夕']]
['34014793-0', 7, ['歌词', '好听', '加油', '不错', '笑容', '火柴', '喜欢', 'rap', '声音', '评论']]
['40249297-0', 7, ['喜欢', '不错', '好听', '支持', '活动', '加油', '音乐', '厉害', '心情', '大爱']]
['407444725-1', 7, ['好听', '喜欢', '日推', '评论', '加油', '打卡', '助攻', '声音', '开口', '节奏']]
['408522142-0', 7, ['好听', 'rap', '中国', '不错', '支持', '喜欢', '女声', '加油', '歌词', '听到']]
['412175360-0', 7, ['民谣', '喜欢', '好听', '加油', '声音', '评论', '好好', '听到', '身边', '春夏秋冬']]
['420154629-0', 7, ['萌德', '好听', '喜欢', '老公', '前排', '翻译', '留名', '评论', '期待', '声音']]
['427595472-0', 7, ['黄子韬', '喜欢', '加油', '音乐', '好听', '不错', '努力', '歌词', '支持', '很棒']]
['431794799-0', 7, ['喜欢', '好听', '首歌曲', '歌曲', '歌词', '不错', '声音', '旋律', '风格', '单曲循环']]
